bibliotek;periode;Lukket;Ubemandet;Frivillig;Bemandet;Hent;F+B+H;Total (U+F+B+H)
Bavnehøj;2023-01;;;;;;0;0
Bavnehøj;2023-02;;;;;;0;0
Bavnehøj;2023-03;;;;;;0;0
Bavnehøj;2023-04;;;;;;0;0
Bavnehøj;2023-05;;;;;;0;0
Bavnehøj;2023-06;;;;;;0;0
Bavnehøj;2023-07;;;;;;0;0
Bavnehøj;2023-08;;;;;;0;0
Bavnehøj;2023-09;;;;;;0;0
Bavnehøj;2023-10;;;;;;0;0
Bavnehøj;2023-11;;;;;;0;0
Bavnehøj;2023-12;;;;;;0;0
Beder-Malling;2023-01;1;1977;;518;;518;2495
Beder-Malling;2023-02;20;1889;;473;;473;2362
Beder-Malling;2023-03;17;2027;;644;;644;2671
Beder-Malling;2023-04;11;1831;;286;;286;2117
Beder-Malling;2023-05;13;1826;;322;;322;2148
Beder-Malling;2023-06;5;2097;;474;;474;2571
Beder-Malling;2023-07;28;605;;123;;123;728
Beder-Malling;2023-08;6;2035;;467;;467;2502
Beder-Malling;2023-09;;1907;;434;;434;2341
Beder-Malling;2023-10;2;2308;;478;;478;2786
Beder-Malling;2023-11;;1940;;491;;491;2431
Beder-Malling;2023-12;5;1758;;388;;388;2146
Egå;2023-01;0;1370;;191;;191;1561
Egå;2023-02;0;1181;;145;;145;1326
Egå;2023-03;0;1182;;128;;128;1310
Egå;2023-04;132;;;;;0;0
Egå;2023-05;;;;;;0;0
Egå;2023-06;;;;;;0;0
Egå;2023-07;;;;;;0;0
Egå;2023-08;;;;;;0;0
Egå;2023-09;;;;;;0;0
Egå;2023-10;;;;;;0;0
Egå;2023-11;;;;;;0;0
Egå;2023-12;;;;;;0;0
Gellerup;2023-01;115;909;;7431;;7431;8340
Gellerup;2023-02;142;1098;;6938;;6938;8036
Gellerup;2023-03;456;1663;;6998;;6998;8661
Gellerup;2023-04;61;738;;4154;;4154;4892
Gellerup;2023-05;267;905;;6510;;6510;7415
Gellerup;2023-06;92;1280;;5709;;5709;6989
Gellerup;2023-07;67;401;;6027;;6027;6428
Gellerup;2023-08;112;644;;6300;;6300;6944
Gellerup;2023-09;60;1056;;5594;;5594;6650
Gellerup;2023-10;109;1029;;6335;;6335;7364
Gellerup;2023-11;59;1142;;6080;;6080;7222
Gellerup;2023-12;93;720;;4471;;4471;5191
Harlev;2023-01;1;3388;;717;;717;4105
Harlev;2023-02;51;2686;;547;;547;3233
Harlev;2023-03;9;3646;;557;;557;4203
Harlev;2023-04;3;2805;;385;;385;3190
Harlev;2023-05;1;2999;;578;;578;3577
Harlev;2023-06;7;3040;;330;;330;3370
Harlev;2023-07;11;233;;47;;47;280
Harlev;2023-08;7;1716;;474;;474;2190
Harlev;2023-09;5;1707;;346;;346;2053
Harlev;2023-10;7;3551;;964;;964;4515
Harlev;2023-11;7;4798;;983;;983;5781
Harlev;2023-12;3;3263;;647;;647;3910
Hasle;2023-01;1235;;;3287;;3287;3287
Hasle;2023-02;1287;;;3240;;3240;3240
Hasle;2023-03;1869;;;2768;;2768;2768
Hasle;2023-04;2708;;;1875;;1875;1875
Hasle;2023-05;1548;;;2414;;2414;2414
Hasle;2023-06;1561;;;1945;;1945;1945
Hasle;2023-07;800;;;1711;;1711;1711
Hasle;2023-08;829;335;;2383;;2383;2718
Hasle;2023-09;1166;555;;2093;;2093;2648
Hasle;2023-10;869;703;;2963;;2963;3666
Hasle;2023-11;1492;562;;2766;;2766;3328
Hasle;2023-12;2229;430;;2021;;2021;2451
Hjortshøj;2023-01;;3853;;283;;283;4136
Hjortshøj;2023-02;128;2469;;209;;209;2678
Hjortshøj;2023-03;6;3655;;245;;245;3900
Hjortshøj;2023-04;3;2814;;151;;151;2965
Hjortshøj;2023-05;2;2844;;213;;213;3057
Hjortshøj;2023-06;2;3211;;268;;268;3479
Hjortshøj;2023-07;17;401;;44;;44;445
Hjortshøj;2023-08;;2246;;308;;308;2554
Hjortshøj;2023-09;1;3125;;261;;261;3386
Hjortshøj;2023-10;1;2714;;364;;364;3078
Hjortshøj;2023-11;0;3495;;337;;337;3832
Hjortshøj;2023-12;2;2445;;183;;183;2628
Hovedbiblioteket;2023-01;2030;13987;;69969;;69969;83956
Hovedbiblioteket;2023-02;1901;15424;;70588;;70588;86012
Hovedbiblioteket;2023-03;2075;28663;;67397;;67397;96060
Hovedbiblioteket;2023-04;1857;19893;;61463;;61463;81356
Hovedbiblioteket;2023-05;2677;27261;;59805;;59805;87066
Hovedbiblioteket;2023-06;2737;32778;;65989;;65989;98767
Hovedbiblioteket;2023-07;1541;25383;;89262;;89262;114645
Hovedbiblioteket;2023-08;2281;27657;;85261;;85261;112918
Hovedbiblioteket;2023-09;3595;29379;;69620;;69620;98999
Hovedbiblioteket;2023-10;1781;24715;;70486;;70486;95201
